,ID,Empathy Score,Empathy Score Shifted,Empathy Score Binary,Text,ColumnID,answer changed?,Email1 CE no,Email1 CE yes,Email1 AE no,Email1 AE yes,Email1 CE+AE no,Email1 CE+AE yes,Email2 CE no,Email2 CE yes,Email2 AE no,Email2 AE yes,Email2 CE+AE no,Email2 CE+AE yes
12,15,0,3,0,Sehr geehrter Herr Thiele Sie haben eigenmächtig einen Auftrag bearbeitet und leider ist dr Kunde total unzufrieden. Bitte kommen Sie zu einer weitern Besprechung iins Büro,email1,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
13,16,-2,1,0,"ehr geehrter Herr Thiele,  entgegen ausdrücklicher Anweisung haben Sie das Angebot bearbeitet und damit Schaden für unser Unternehmen verursacht, Sie hatten zum einen eine Mail/Info an mich senden könne und zum anderen die Kundin informieren könne das ich derzeit nicht erreichbar bin, jedoch informiert wäre und mich entsprechend kümmern werde.",email1,1.0,2.0,0.0,0.0,0.0,2,0,2.0,1.0,0.0,0.0,2,1
14,18,-3,0,0,"Sehr geehrter Herr Thiele, Besprechungen sind keine Ausreden um sich nicht an die Arbeitsanweisungen zu halten. Besprechungen haben Pausen. Man hätte mich erreichen können. Der Punkt ist aber, warum wurde der Auftrag nicht ordnugnsgemäß erfüllt ? Was passiert, wenn ich krank werde oder im Urlaub bin ? Ich glaube jeder Kollege ist in der Lage einen Auftrag im Sinne der Kunden zu erledigen. ist das nicht der Fall, frage ich mich, ob unsere Mitarbeiter genügend Kenntnis über unsere Produkte haben. Diesen Punkt werde ich nun mit der Geschäftsleitung besprechen und Sie machen sich Gedanken, woran es gelegen hat, wieso der Auftrag falsch ausgeliefert wurde",email1,1.0,2.0,0.0,1.0,0.0,3,0,2.0,1.0,1.0,1.0,3,2
15,19,1,4,0,"Herr Thiele, ich verstehe zwar den Hintergrund und weiß ihre Entschuldigung auch zu schätzen, jedoch steht es hier völlig außer Frage, dass ihr Verhalten und eigenmächtiges Eingreifen in die Situation völlig unangemessen und fahrlässig war.  Und zum jetzigen Zeitpunkt bringt es auch nicht den Hintergrund oder die Motivation ihres Handelns zu analysieren, denn egal warum - der Schaden ist angerichtet und hat nun sowhl wirtschaftlich als auch für mich beruflich weitreichende Konsequenzen.  Wäre es eine Konsequenz die schnell bereinigt werden könnte, wäre es etwas Anderes, aber sowohl der Vertrauensbruch zwischen Ihnen und mir, sowie der Kundin und dem Unternehmen sind gebrochen.  ABgesehen davon, dass wir nicht nur die Kundin nun verloren haben, sondern sie mit Sicherheit ihre Erfahrungen weitererzählt und durch Mundpropaganda uns noch mehr Schaden zugefügt werden kann.",email1,1.0,1.0,1.0,0.0,1.0,1,2,1.0,2.0,2.0,2.0,3,4
16,20,2,5,1,"Lieber Hr. Thiele,  ich weiß zu schätzen, dass Sie den Auftrag so schnell wie möglich abarbeiten wollten. Allerdings ist eine fehlerhafte Abarbeitung nicht besser als keine Erledigung. Es gibt in dieser Abteilung formulierte Handlungskonzepte an die wir uns alle halten müssen und von diesen kann nicht nach einer Abstimmung mit anderen Kollegen abgewichen werden.. Da diesbzgl offensichtlich noch in der ganzen Abteilung Unsicherheiten herrschen werden wir diese in unserer nächsten Teamsitzung ausräumen.  MfG",email1,1.0,1.0,1.0,0.0,2.0,1,3,0.0,1.0,0.0,1.0,0,2
17,21,0,3,0,Wir werden uns morgen im Büro um 7:00 Uhr treffen nd dieses genau auswerten. Danach werde ich weitere Schritte überdenken und einleiten,email1,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
18,23,-1,2,0,"Sehr geehrter Herr Thiele,  wie Sie ja sicher wissen, sollen alle Aufträge über mich laufen und Ihr eigenmächtiges Handeln hat nun zur Folge, das wir diese Großkundin verlieren und diese auch Schadenersatzansprüche stellen wird. Sicher war es so, das ich gestern in vielen Besprechnungen war, doch das hätte Sie nicht davon abhalten sollen, den korrekten Dienstweg einzuhalten und mir eine E-Mail mit Dringlichkeitsvermerk zu schicken, da ich die E-Mails den ganzen Tag über prüfe. Was Sie auch wissen.  Ich erwarte Sie morgen zu einem persönlichen Gespräch diesbezüglich.  Mit freundlichem Gruß  N.R.",email1,0.0,2.0,1.0,0.0,0.0,2,1,2.0,1.0,0.0,0.0,2,1
19,24,0,3,0,"Lieber Herr Thiele,  wie Sie wissen, laufen Angebote von Großkunden immer über mich. Daher bitte ich Sie, sich daran zu halten. Aufgrund Ihres Fehlers haben wir nun einen weiteren Großkunden verloren. Ich biete Ihnen an, im Februar eine Weiterbildung zu besuchen, nach deren Abschluss Sie die Qualifikation haben, solche Aufträge zu bearbeiten.  Mit freundlichen Grüßen",email1,1.0,1.0,0.0,0.0,1.0,1,1,0.0,1.0,0.0,1.0,0,2
20,25,2,5,1,"Hallo herr Thiele!  Zunächst erst bedanke ich mich bei Ihnen dafür, dass Sie sich trotz der Widrigkeiten und mit Rücksprache mit den Kollegen versucht haben den Auftrag zeitgerecht zu bearbeiten. Wie schon geschildert, hat das leider zu einem unbefriedigendem Ergebnis geführt.  Ich bitte Sie mit mir noch mal Rücksprache zu nehmen, damit wir die Einzelheiten abklären können und es vielleicht doch möglich ist, den Kernkunden zumindest zu behalten.    MfG  Mustermann",email1,1.0,0.0,1.0,0.0,1.0,0,2,0.0,1.0,0.0,1.0,0,2
21,27,1,4,0,"Sehr geehrter Herr Thiele,  ich finde es im Allgemeinen sehr angenehm, dass Sie sich mit dem Team über die Vorgehensweise abgestimmt haben. Dennoch ist das Bearbeiten solcher Bestellungen vorschriftmäßig abzuwickeln und Sie hätten in diesem Fall warten müßen oder mir eine Dringlichkeitsmitteilung zukommen lassen müßen. Ich werde diese Angelegenheit besprechen und behalte mir vor, eine Abmahnung auszusprechen.  Ich werde in den nächsten Tagen auf Sie zukommen, um diesen Vorfall noch einmal persönlcich durchzugehen.",email1,1.0,0.0,0.0,0.0,1.0,0,1,1.0,0.0,0.0,1.0,1,1
22,28,0,3,0,"Herr Thiele. Ich muss ihnen leider mitteilen, dass Sie aufgrund nicht autorisierter Maßnahmen ihrerseits, bei dem unserer Firma ein erheblicher finazieller schaden entstanden ist, einen Verweis erteilen muss.",email1,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
23,29,2,5,1,"Sehr geehrter Herr Thiele,  vielen Dank für Ihre schnelle Rückmeldung. Um künftige Probleme dieser Art zu vermeiden bin ich jederzeit über meine Diensthandynummer für alle direkten Kollegen im Team erreichbar.  Um den verlorenen Kunden zurückzugewinnen treffen wir uns Morgen um 14 Uhr zur Teambesprechung mit allen Teamkollegen im Besprechungsraum 01. Bitte informieren Sie die Kollegen.    Vielen Dank.    Mit freundlichen Grüßen    M.",email1,1.0,0.0,1.0,0.0,1.0,0,2,0.0,1.0,0.0,3.0,0,4
24,30,0,3,0,"Sehr geehrter Herr Thiele,  bitte senden Sie mir UMGEHEND die vollständigen Daten der gesamten Kundenanfrage zu! Ich erwarte diese Daten vollständig bis 12:00 Uhr von Ihnen zu erhalten.   Weshalb haben Sie mich nicht aus einer der Beratungen mit dem Hinweis der absoluten Dringlichkeit rausholen lassen? Sie haben zwar versucht im Interesse der Firma zu handeln; haben dabei jedoch einigen Schaden angerichtet. Wir beide GEMEINSAM werden uns dafür zu verantworten haben. Es ist Ihnen doch als Weisung  bekannt, das diese Art Aufträge ausschließlich durch mich zu bearbeiten sind; weshalb erfahre ich das heute über den Kunden und habe vom Vorgang keine Kopie von Ihnen zur Kenntnis erhalten?   Wir telefonieren hierzu um 15:00 Uhr. Sie haben zu diesem Termin bitte alles andere abgesagt oder anderweitig organisiert.  Mit feundlichen Grüßen",email1,0.0,2.0,1.0,0.0,1.0,2,2,2.0,2.0,0.0,0.0,2,2
25,31,-3,0,0,"Herr  Thiele, Sie wissen ganz genau, dass nur ich diese Auträge bearbeite. Warum haben Sie mir keine Mitteilung zu kommen lassen ?  Ich werde mir überlegen müssen, welche Konzequenzen Ihr Verhalten für mich und dei Firma hat.",email1,1.0,3.0,0.0,0.0,0.0,3,0,2.0,0.0,0.0,0.0,2,0
26,32,1,4,0,"Hallo Herr thiele, danke für die Rückmeldung. Ich würde Sie bitten mir kurz das Vorgehen zu beschreiben, welche Schritte unternommen wurden bei der Bearbeitung.   Desweiteren würde ich Sie bitten mich das nächste mal direkt zu informieren, auch wenn ich beschäftigt bin. Möglicherweise wäre eine andere Lösung hier besser gewesen.     Vielen Dank",email1,1.0,0.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0,2
27,33,-1,2,0,"Hallo Herr Thiele, zum einen finde ich Eigeninitiative wie von Ihnen gezeigt sehr gut, zum Anderen haben Sie sich (und das gesamte Team) über meine Anweisungen hinweggesetzt, dass Angebote nur über mich laufen. Dies ist inakzeptabel. Bei einem wichtigen Großkunden, den wir jetzt dank Ihnen verloren haben, kann man mich auch einmal aus einer Besprechung holen. Dies wäre zum einen der Kunde wert gewesen, zum anderen riskieren Sie mit diesem eigenmächtigen (und fehlerbehafteten) Handeln auch meinen Job. Dies wird Konsequenzen nach sich ziehen.",email1,1.0,2.0,0.0,0.0,1.0,2,1,2.0,0.0,0.0,1.0,2,1
28,34,-1,2,0,"sehr geehrter Herr Thiele,  rückwirkend auf ihre Stellungnahme muss ich sie doch darauf hinweisen dass sie eigenmächtig ohne Rücksprache gehandelt haben was in diesem Falle nicht positiv ausgefallen ist. Wie wollen sie jetzt vorgehen ? Wir müssen unbedingt Rücksprache halten auch dass wir nochmals auf den Kunden mit einer Stellungnahme zugehen",email1,1.0,0.0,0.0,1.0,0.0,1,0,0.0,1.0,1.0,1.0,1,2
29,35,-1,2,0,"Sehr geehrter Herr Thiele, ich hätte gerne ein Gespräch mit ihnen, da viele Dinge falsch gelaufen sind und wir eine Lösung finden müssen. Damit sowas sich nicht wiederholt.",email1,1.0,0.0,0.0,1.0,0.0,1,0,0.0,0.0,0.0,1.0,0,1
30,36,-1,2,0,"Warum hat man die Kundin nicht auf einen abendlichen Termin verlegt, wo ich nicht in der Besprechung war?",email1,1.0,1.0,0.0,0.0,0.0,1,0,1.0,1.0,0.0,0.0,1,1
31,39,1,4,0,"Ihre gutgemeinte Einmischung führte leider nur zu Problemen für viele.Erklären sie der Kundin ihr Vorgehen und versuchen sie höflich,kompetent alles zu klären.",email1,0.0,0.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,0.0,0,1
32,40,-1,2,0,Beim nächsten Einsatz bin ich zu unterrichten- egal wo ich bin und was ich tue-nur ich werde die Großkunden bedienen.,email1,1.0,1.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0
33,42,0,3,0,"Sehr geehrter Herr Thiele,  leider hat ihr unsachgemäßes Handeln zum Verlust eines wichtigen Kunden geführt.   Angebote dürfen nur über mich laufen.",email1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
34,43,-2,1,0,"Sehr geehrter Herr Thiele,  es gab die eindeutige Anweisung, dass Aufträge von Großkunden nur von mir persönlich bearbeitet werden sollen. Statt den Auftrag selbst zu bearbeiten, hätten Sie dem Kunden eine Zwischennachricht schicken sollen, dass sich die Bearbeitung um einen Tag verzögern würde. Leider hilft es da sehr wenig, dass Sie sich nun schlecht fühlen, denn durch Ihre fehlerhafte Bearbeitung werden wir diesen Großkunden nun leider verlieren. Daher muss ich Ihnen hiermit eine Abmahnung aussprechen.  Hochachtungsvoll",email1,1.0,1.0,0.0,1.0,0.0,2,0,0.0,0.0,0.0,3.0,0,3
35,46,1,4,0,"Sehr geehrter Herr Thiele,  das Ganze ist ganz ehrlich blöd gelaufen, ich weiß sie haben im Sinne der Firma gehandelt, allerdings haben wir jetzt einen Großkunden verloren. Dies sollte nicht noch einmal passieren.",email1,1.0,0.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,0.0,0,1
36,47,2,5,1,Ich verstehe die Situation und den Grund hinter der Entscheidung diesen Auftrag zu bearbeiten. Ich muss genauer verstehen wie es dazu kam und warum die die inkorrekten Computer geliefert wurden.  Bitte kommen Sie morgen ins Büro um alles genauer zu besprechen. In der Zwischenzeit werde ich alles weitere klären,email1,1.0,0.0,2.0,0.0,0.0,0,2,0.0,1.0,0.0,0.0,0,1
37,48,0,3,0,"Sehr geehrter Herr Thiele,    wie Sie wissen, dürfen solche Aufträge nur von mir persönlich bearbeitet werden. Sie haben somit klare Anweisungen nicht befolgt, was dazu geführt hat, dass ein wichtiger Auftrag fehlerhaft erfüllt wurde und dies zum Verlust eines Großkunden geführt hat.   Morgen um 08:00 Uhr bitte ich Sie in mein Büro zu kommen.    MfG",email1,1.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0,1
38,49,3,6,1,"Sehr geehrter Herr Thiele,  für Ihre Eigeninitiative möchte ich mich im hohen Maße bedanken. Nicht jeder Mitarbeiter handelt selbststänigt, wenn es die Situation erfordert. Unsere Kundin war jedoch nicht so ganz zufrieden. Ich möchte Sie bitten, beim nächsten Mal unbedingt mit mir Kontakt aufzunehmen, auch wenn ich in einer Besprechung bin.    MfG Führung",email1,1.0,0.0,1.0,0.0,2.0,0,3,0.0,1.0,0.0,1.0,0,2
39,50,1,4,0,"Herr Thiele,  Ich Schätze Ihre kundeorientierte Denkweise.  Jedoch haben wir durch ihr Vorgehen einen sehr wichtigen Kunden verloren.  Sollte so ein Vorfall erneut eintreten, haben sie auf mich zu warten, bis ich Ihnen eine Rückmeldung gebe",email1,1.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,0.0,2.0,0,3
40,52,-1,2,0,"Hallo Herr Thiele, leider haben sie bei dem Vorfall ihre Kompetenz überschritten. Wie sie genau wissen, ist bei solchen Entscheidungen die Abteilungsleitung einzubeziehen. Hierdurch wurde die Möglichkeit genommen, auf höherer Ebene mit dem Kunden zu reden, um eine einvernähmliche Lösung zu finden. Ich bitte sie deshalb dazu um Rücksprache, Ihr Chef.",email1,1.0,1.0,0.0,0.0,0.0,1,0,1.0,1.0,0.0,1.0,1,2
41,54,0,3,0,"Sehr geehrter Herr Thiele, vielen Dank für Ihre Antwort. Ihnen ist bekannt, dass Großkunden ausschließlich durch meine Person zu betreuen sind, daher erwarte ich in derartigen Situationen, dass unbedingt zuvor Rücksprache mit mir gehalten wird, bevor Sie hier eigenmächtig tätig werden. Dies gilt auch in Situationen, wo ich nicht permanent den ganzen Tag über erreichbar bin. Es ist sehr wichtig, dass Sie uns alle anderen Mitarbeiter sich künftig an diese festgelegt Vorgehensweise halten, um etwaige Fehler wie sie jetzt eingetreten sind möglichst zu vermeiden. Mit freundlichen Grüßen",email1,1.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0,1
42,55,0,3,0,"In Situationen, in welchen eigenmächtige Entscheidungen zu finanziellen Verlusten führen, ist ein derartiges Verhalten nicht akzeptabel. Ich verstehe ich Vorgehensweise. Bitte Sie jedoch in Zukunft darum, solche Entscheidungen nicht mehr selbst zu treffen. Es ist wichtiger einen Auftrag dann nicht rechtzeitig ausführen zu können, als diesen fehlerhaft zu bearbeiten.",email1,1.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,0.0,1.0,0,2
43,56,2,5,1,"Hallo Herr Thiele, vielen Dank für Antwort und ihr Erklärung zu dem gestrigen Vorgehen. Ihr Einschätzung zu ihren Entscheidungen ist für mich nachvollziehbar, dennoch müssen wir in der gesamten Abteilung bei kommenden Aufträgen die Vorgabe einer transparenten und abgestimmten Vorgehensweise einhalten, um nicht erneut in die Schwierigkeiten zu geraten. Ich bitte Sie daher eindringlich nicht mehr von den vorgegebenen Richtlinien abzuweichen und nicht eigenmächtig Entscheidungen zu treffen, zu denen Sie nicht die Befugnis haben.",email1,1.0,0.0,1.0,0.0,1.0,0,2,0.0,2.0,0.0,3.0,0,5
44,57,1,4,0,"Hallo Herr Thiele,  es ist sehr löblich, das sie sich der Sache angenommen haben, aber ihr fehlerhaftes Handeln hat einen größeren Schaden verursacht als ein Nichthandeln.  Richtig wäre gewesen, alles daran zu setzen mich in diesem Fall persönlich zu erreichen.  Ich werde alles tun um die Situation zu retten, wünsche mir aber in Zukunft das sie weniger eigenmächtig in solchen Situationen verfahren.  KfG",email1,1.0,1.0,0.0,0.0,2.0,1,2,1.0,1.0,0.0,1.0,1,2
45,58,0,3,0,Stellen sie sich ihren fehlern und denken sie darüber nach.,email1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
46,59,-1,2,0,"Es wäre besser gewesen, dem Kunden zu vertrösten. Das hätte uns Zeit gegeben wie wor mit dieser Situation umgegangen wären. Nun ist das zu spät,a ber das nächste Mal sollten wir gemeinsam das angehen.",email1,1.0,1.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0
47,60,-1,2,0,"Hallo Herr Thiele,    ich sehe es nicht ein, dass ich aufgrund meiner guten Arbeit  bestraft  werde und nicht einmal dazu komme, momentan Mittagspause zu machen. Ich bin momentan vollkommen überarbeitet. Aus diesem Grund bitte ich Sie, einen Teil meiner Arbeit zu delegieren.",email1,1.0,1.0,0.0,0.0,0.0,1,0,0.0,1.0,0.0,1.0,0,2
48,61,2,5,1,wsie trifft keine schuld mein eigenes schlechte zeitplanung und das der firma hat zu dem fehler geführt.ich werde persönlich noch mal mit dem kunden sprechen.ich . wenn wir dem kunden entgegenkommen wird er weiter bei und kaufen .das nächte mal holen sie mich persönlich aus eienr besprechung,email1,1.0,0.0,1.0,0.0,1.0,0,2,0.0,1.0,0.0,2.0,0,3
49,62,-2,1,0,"Sehr geehrter Herr Thiele, ich bin über den besagten Vorfall mehr als verärgert, denn mittels einer einfachen Email hätten Sie mich informieren können und müssen! Dann hätte ich mit dem Kunden das Problem besprechen und Schaden für unser Unternehmen vermeiden können. Somit werde ich das anstehende Problem nun selbst vorrangig bearbeiten, komme aber nicht umhin, Ihre Eigenmächtigkeit mit der Betriebsleitung zu eroieren. Dazu wollen Sie mir bis morgen eine Stellungnahme zukommen lassen.  Mit freundlichen Grüßen",email1,1.0,2.0,0.0,0.0,0.0,2,0,1.0,0.0,0.0,2.0,1,2
50,64,2,5,1,"Sehr geehrter Herr Thiele, bitte schildern Sie mir noch einmal den kompletten Sachverhalt aus ihrer Sicht.  Sie wissen eigentlich, dass solche Kunden eigentlich nur von mir persönlich bearbeitet werden, daher meine Frage, warum Sie diesen Kunden nicht an mich weitergeleitet haben?",email1,1.0,0.0,2.0,0.0,0.0,0,2,0.0,3.0,0.0,1.0,0,4
51,65,1,4,0,Bitte halten Sie sich an die vorgegebenen Abläufe. Ihre Eigeninitative in Ehren.,email1,1.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,0.0,1.0,0,2
52,66,-1,2,0,"Hallo Herr Thiele,  rückblickend auf den verlorenen Auftrag, müssen wir eine Entscheidung treffen. Sie hätten, egal in was für einer Situation ich wäre, mich kontaktieren müssen. Die Folge dessen ist, das uns dieser wichtige Kunde abgesprungen ist und nun alles schlecht für die Zukunft steht. Ich möchte Sie bitten, das wir hier erneut zusammen kommen.",email1,1.0,1.0,0.0,0.0,0.0,1,0,0.0,1.0,0.0,1.0,0,2
53,67,0,3,0,"überlassen sie bitte in Zukunft die Entscheidung allein, auch wenn ich nicht erreichbar bin",email1,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0,1
54,70,1,4,0,"Moin Herr Thiele,  ich hätte zumindest eine Mail mit der Info über das Vorgehen ihrerseits erwartet, meine Mails checke ich auch in bzw zwischen den Besprechungen. Dann hätten wir über das weitere Vorgehen zumindest beraten können. Wir können dies nun nicht mehr ändern, ich trete mal mit dem Kunden in Kontakt und versuche ihn zu besänftigen. Bitte beim nächsten Mal auf keinen Fall komplett ohne Info an die Sache ran gehen.",email1,1.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,0.0,1.0,0,2
55,71,0,3,0,"Sehr geherte Herr Thiele, Wir haben uns über Situation informiert. Und würden Sie möglichts bald bieten sich mit und ins Verbindung zu setzen, damit wir alle mögliche Problemen diskutiert können.",email1,1.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0,1
56,72,-2,1,0,"Hallo Herr Thiele, es wurde ausdrücklich gebeten das die wichtigen Kunden über meinen Tisch laufen. Nun ist ein wichtiger Kunde abgesprungen. Sie hätten mich trotzdem aus dem Meeting holen müssen um kurz Rücksprache zu halten. hr Handeln wird Konsequenzen haben.",email1,1.0,1.0,0.0,1.0,0.0,2,0,0.0,1.0,0.0,0.0,0,1
57,73,1,4,0,"Herr Thiele, Sie haben mit Sicherheit versucht das Beste für den Kunden zu machen.   Leider haben Sie aber nicht an die benötigte Leistung der PC´S gedacht. Es wäre mir lieber gewesen Sie hätten dem Kunden geantwortet dass sein Anliegen schnellstmöglich bearbeitet wird. Und dann hätten Sie sich sofort mir mir in Verbindung setzen müssen.",email1,1.0,0.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,0.0,0,1
58,74,0,3,0,Du musst das irgendwie wiedergutmachen.,email1,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
59,77,0,3,0,Oder über die konsequenzen nachdenken,email1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
